dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
cifar10,easiest,50,1,20.97151,743.90278840065,268.3305809497833,1012.2333693504333
cifar10,easiest,50,2,22.80814,743.2890214920044,273.65843296051025,1016.9474544525146
cifar10,easiest,50,3,23.086134,747.497339963913,269.81844878196716,1017.3157887458801
cifar10,easiest,60,1,21.219791,900.3308091163635,271.1880371570587,1171.5188462734222
cifar10,easiest,60,2,21.005867,899.9143965244293,274.0147633552551,1173.9291598796844
cifar10,easiest,60,3,21.468584,900.2909162044525,279.3532404899597,1179.6441566944122
cifar10,easiest,70,1,21.18446,1044.4461464881897,274.9169571399689,1319.3631036281586
cifar10,easiest,70,2,21.442892,1045.1783020496368,275.0505111217499,1320.2288131713867
cifar10,easiest,70,3,21.613636,1045.4971086978912,276.7194528579712,1322.2165615558624
cifar10,easiest,80,1,20.88919,1190.505381822586,273.0369613170624,1463.5423431396484
cifar10,easiest,80,2,22.829374,1188.9839193820953,269.56161999702454,1458.5455393791199
cifar10,easiest,80,3,21.506767,1189.5362408161163,274.4143569469452,1463.9505977630615
cifar10,easiest,90,1,22.823597,1336.3869507312775,272.84506011009216,1609.2320108413696
cifar10,easiest,90,2,21.885685,1334.4196336269379,271.87054800987244,1606.2901816368103
cifar10,easiest,90,3,20.994766,1333.6581268310547,268.1110634803772,1601.7691903114319
