dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
cifar10,easiest,50,1,21.436317,0.2835,0.2315,754.2388796806335,278.0978512763977,317.68246841430664,1350.019199371338
cifar10,easiest,50,2,22.269255,0.2549,0.2511,750.681823015213,279.70545268058777,319.4819493293762,1349.869225025177
cifar10,easiest,50,3,19.96006,0.2525,0.2367,781.8395845890045,271.69414615631104,297.3519721031189,1350.8857028484344
cifar10,easiest,60,1,21.754086,0.2886,0.249,886.5927307605743,268.5843925476074,295.93152141571045,1451.1086447238922
cifar10,easiest,60,2,21.276794,0.2652,0.2486,886.7906885147095,271.2954444885254,292.05376982688904,1450.139902830124
cifar10,easiest,60,3,21.041002,0.272,0.2408,886.522403717041,271.1515872478485,294.8913803100586,1452.5653712749481
cifar10,easiest,70,1,19.005299,0.2736,0.2643,1031.1061313152313,272.89930605888367,296.02657413482666,1600.0320115089417
cifar10,easiest,70,2,22.204948,0.2719,0.2674,1029.7924537658691,273.995019197464,296.3076148033142,1600.0950877666473
cifar10,easiest,70,3,20.974182,0.2678,0.2557,1030.5880317687988,271.06816720962524,298.09508204460144,1599.7512810230255
cifar10,easiest,80,1,19.474216,0.2777,0.2847,1174.0096304416656,276.5886073112488,294.49972009658813,1745.0979578495026
cifar10,easiest,80,2,22.037651,0.2846,0.2625,1172.895290851593,272.6758568286896,299.143700838089,1744.7148485183716
cifar10,easiest,80,3,19.79787,0.271,0.2598,1174.6046538352966,273.86065554618835,297.78492069244385,1746.2502300739288
cifar10,easiest,90,1,20.529936,0.2788,0.2893,1317.6592001914978,274.0884039402008,296.3456070423126,1888.0932111740112
cifar10,easiest,90,2,21.200068,0.2754,0.2875,1315.7633488178253,273.3195676803589,297.97365975379944,1887.0565762519836
cifar10,easiest,90,3,20.31773,0.2689,0.2979,1315.058572769165,275.4888873100281,295.10903310775757,1885.6564931869507
