dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
cifar10,easiest_balanced,50,1,23.003279,751.2439694404602,275.4589126110077,1026.702882051468
cifar10,easiest_balanced,50,2,23.92615,748.8693234920502,276.4558243751526,1025.3251478672028
cifar10,easiest_balanced,50,3,22.79477,749.5865139961243,272.9809935092926,1022.5675075054169
cifar10,easiest_balanced,60,1,23.406387,892.4710257053375,271.9248445034027,1164.3958702087402
cifar10,easiest_balanced,60,2,23.229267,897.1358594894409,272.51588559150696,1169.6517450809479
cifar10,easiest_balanced,60,3,21.600517,893.1883637905121,273.7960271835327,1166.9843909740448
cifar10,easiest_balanced,70,1,21.98904,1039.9605667591095,274.45960903167725,1314.4201757907867
cifar10,easiest_balanced,70,2,21.977402,1038.0383446216583,273.2060134410858,1311.2443580627441
cifar10,easiest_balanced,70,3,21.088924,1041.8211402893066,271.5419466495514,1313.363086938858
cifar10,easiest_balanced,80,1,21.626537,1186.0087926387787,273.5805447101593,1459.589337348938
cifar10,easiest_balanced,80,2,22.87022,1185.4760253429413,272.31865191459656,1457.7946772575378
cifar10,easiest_balanced,80,3,21.948845,1186.608286857605,274.9739670753479,1461.5822539329529
cifar10,easiest_balanced,90,1,21.756365,1333.5321471691132,272.653639793396,1606.1857869625092
cifar10,easiest_balanced,90,2,21.544695,1332.4060480594635,277.64144587516785,1610.0474939346313
cifar10,easiest_balanced,90,3,21.055607,1331.8454320430756,273.19328474998474,1605.0387167930603
