dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
cifar10,easiest_balanced,50,1,23.003279,0.2801,0.2507,763.2418205738068,277.6895842552185,319.10783982276917,1360.0392446517944
cifar10,easiest_balanced,50,2,23.92615,0.2688,0.2418,767.7918901443481,273.8236417770386,311.6541213989258,1353.2696533203125
cifar10,easiest_balanced,50,3,22.79477,0.2803,0.245,769.7403407096863,271.4832589626312,311.46738719940186,1352.6909868717194
cifar10,easiest_balanced,60,1,23.406387,0.2851,0.2219,919.5880587100983,270.94403886795044,311.56583738327026,1502.097934961319
cifar10,easiest_balanced,60,2,23.229267,0.276,0.233,918.3519568443298,271.6661548614502,310.62752962112427,1500.6456413269043
cifar10,easiest_balanced,60,3,21.600517,0.272,0.2627,916.4178650379181,272.29541182518005,311.2234756946564,1499.9367525577545
cifar10,easiest_balanced,70,1,21.98904,0.2744,0.2621,1067.6368222236633,271.0642673969269,308.94053649902344,1647.6416261196136
cifar10,easiest_balanced,70,2,21.977402,0.285,0.2493,1067.0295143127441,271.73105025291443,313.2468230724335,1652.007387638092
cifar10,easiest_balanced,70,3,21.088924,0.264,0.2477,1067.0359575748444,270.06235218048096,310.82909989356995,1647.9274096488953
cifar10,easiest_balanced,80,1,21.626537,0.2745,0.2602,1218.7518203258514,272.00421237945557,309.89655590057373,1800.6525886058807
cifar10,easiest_balanced,80,2,22.87022,0.2538,0.2793,1214.184557914734,271.9413001537323,309.5041582584381,1795.6300163269043
cifar10,easiest_balanced,80,3,21.948845,0.2748,0.248,1215.826133966446,274.99534249305725,315.12265038490295,1805.9441268444061
cifar10,easiest_balanced,90,1,21.756365,0.2709,0.2798,1363.528692483902,274.5574164390564,310.9467830657959,1949.0328919887543
cifar10,easiest_balanced,90,2,21.544695,0.255,0.2624,1364.3129801750183,274.3605649471283,309.4740891456604,1948.147634267807
cifar10,easiest_balanced,90,3,21.055607,0.2618,0.2937,1363.860803604126,272.39645743370056,310.1451427936554,1946.402403831482
