dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
cifar10,hardest,50,1,40.607433,748.5505039691925,277.0105531215668,1025.5610570907593
cifar10,hardest,50,2,37.967995,741.4630148410797,272.6789197921753,1014.141934633255
cifar10,hardest,50,3,35.546646,741.9530935287476,271.532372713089,1013.4854662418365
cifar10,hardest,60,1,35.1644,887.3741292953491,271.9562804698944,1159.3304097652435
cifar10,hardest,60,2,32.00061,886.9739668369293,269.6102204322815,1156.5841872692108
cifar10,hardest,60,3,32.339874,887.3708808422089,274.32395243644714,1161.694833278656
cifar10,hardest,70,1,29.635021,1030.5240395069122,273.34749150276184,1303.871531009674
cifar10,hardest,70,2,30.732498,1032.853322505951,274.4703919887543,1307.3237144947052
cifar10,hardest,70,3,31.186565,1032.3249797821045,273.55510330200195,1305.8800830841064
cifar10,hardest,80,1,27.096874,1177.2253332138062,273.26912331581116,1450.4944565296173
cifar10,hardest,80,2,28.258066,1176.8334040641785,272.5012934207916,1449.33469748497
cifar10,hardest,80,3,28.031002,1177.488382101059,267.84712529182434,1445.3355073928833
cifar10,hardest,90,1,24.451883,1325.7080285549164,274.04128885269165,1599.749317407608
cifar10,hardest,90,2,24.840563,1321.0538318157196,270.172327041626,1591.2261588573456
cifar10,hardest,90,3,24.601051,1315.4489860534668,268.7654550075531,1584.21444106102
