dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
cifar10,hardest,50,1,30.810024,0.2821,0.2568,771.9278869628906,274.19331073760986,315.3667480945587,1361.4879457950592
cifar10,hardest,50,2,33.926537,0.2575,0.2538,759.966023683548,276.5649230480194,300.8633840084076,1337.394330739975
cifar10,hardest,50,3,33.53846,0.2553,0.2367,758.202602148056,274.7779915332794,300.55765676498413,1333.5382504463196
cifar10,hardest,60,1,31.278265,0.2629,0.2543,900.5127589702606,268.24232149124146,304.6437075138092,1473.3987879753113
cifar10,hardest,60,2,31.457197,0.2621,0.2709,898.3677883148193,268.68127489089966,298.2056465148926,1465.2547097206116
cifar10,hardest,60,3,29.506134,0.2669,0.2465,900.2262988090515,274.2382938861847,300.0757780075073,1474.5403707027435
cifar10,hardest,70,1,29.969982,0.2684,0.2525,1044.1198511123657,272.11988639831543,302.1262664794922,1618.3660039901733
cifar10,hardest,70,2,28.36707,0.2531,0.2892,1044.1283917427063,275.7766547203064,301.14434790611267,1621.0493943691254
cifar10,hardest,70,3,28.870682,0.2752,0.2611,1044.1283917427063,272.11988639831543,301.14434790611267,1617.3926260471344
cifar10,hardest,80,1,25.681976,0.2646,0.2736,1199.306030511856,274.64921593666077,297.2689836025238,1771.2242300510406
cifar10,hardest,80,2,26.703259,0.258,0.2771,1194.583182811737,276.3900144100189,299.32032680511475,1770.2935240268707
cifar10,hardest,80,3,27.219563,0.2579,0.3129,1196.7655582427979,277.03762650489807,302.00513076782227,1775.8083155155182
cifar10,hardest,90,1,24.970615,0.2705,0.2651,1341.9516859054565,272.31484723091125,380.3518741130829,1994.6184072494507
cifar10,hardest,90,2,24.020023,0.2737,0.2906,1450.2486729621887,285.6760654449463,301.53599429130554,2037.4607326984406
cifar10,hardest,90,3,24.321228,0.2721,0.291,1341.3061265945435,268.6600697040558,303.3933434486389,1913.3595397472382
