dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
cifar10,random,50,1,26.359934,742.7174215316772,270.93968319892883,1013.6571047306061
cifar10,random,50,2,28.748322,742.3940014839172,270.26453018188477,1012.658531665802
cifar10,random,50,3,28.576813,745.3376128673553,269.58614468574524,1014.9237575531006
cifar10,random,60,1,27.001038,888.6513247489929,270.1338083744049,1158.7851331233978
cifar10,random,60,2,26.106667,889.4911472797394,269.03912329673767,1158.530270576477
cifar10,random,60,3,24.862932,898.0012722015381,267.56631779670715,1165.5675899982452
cifar10,random,70,1,23.520792,1033.4544410705566,270.9431688785553,1304.397609949112
cifar10,random,70,2,24.800098,1036.0183589458466,271.3960244655609,1307.4143834114075
cifar10,random,70,3,24.71672,1033.721075296402,268.19267988204956,1301.9137551784515
cifar10,random,80,1,23.547438,1176.2064716815948,272.8998203277588,1449.1062920093536
cifar10,random,80,2,22.243952,1178.0770769119263,269.7909791469574,1447.8680560588837
cifar10,random,80,3,22.617462,1196.461177110672,270.20381212234497,1466.664989233017
cifar10,random,90,1,23.28783,1320.3626556396484,270.50621128082275,1590.8688669204712
cifar10,random,90,2,22.264519,1320.5163173675537,272.209317445755,1592.7256348133087
cifar10,random,90,3,23.414364,1320.6272547245026,268.97340846061707,1589.6006631851196
cifar10,random,100,1,21.494188,1462.751329421997,269.18473744392395,1731.936066865921
cifar10,random,100,2,21.853119,1453.416297674179,271.09116220474243,1724.5074598789215
cifar10,random,100,3,21.816128,1453.3289325237274,269.1761517524719,1722.5050842761993
