dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
cifar10,random,50,1,28.022732,0.2858,0.2316,761.0439550876617,270.17871165275574,302.35044836997986,1333.5731151103973
cifar10,random,50,2,26.350048,0.2615,0.2378,750.2205967903137,272.2558979988098,298.7521462440491,1321.2286410331726
cifar10,random,50,3,26.45477,0.2617,0.253,748.0101900100708,272.04663610458374,300.879825592041,1320.9366517066956
cifar10,random,60,1,26.536777,0.2731,0.2492,888.2819194793701,272.78577160835266,306.11763310432434,1467.1853241920471
cifar10,random,60,2,24.745419,0.2607,0.2719,887.5829672813416,271.6918725967407,305.07621240615845,1464.3510522842407
cifar10,random,60,3,24.96521,0.2566,0.2717,888.1176197528839,271.4782700538635,301.9284212589264,1461.5243110656738
cifar10,random,70,1,22.046555,0.2652,0.2625,1032.2496078014374,272.10892033576965,299.6728162765503,1604.0313444137573
cifar10,random,70,2,23.997334,0.2578,0.2863,1031.8944003582,270.59055042266846,301.70565819740295,1604.1906089782715
cifar10,random,70,3,22.63088,0.2625,0.2803,1033.1360929012299,276.32204842567444,301.9007685184479,1611.3589098453522
cifar10,random,80,1,23.218376,0.2703,0.2626,1176.2487630844116,272.58776092529297,302.7860355377197,1751.6225595474243
cifar10,random,80,2,23.371073,0.2566,0.2857,1190.943788766861,270.0466933250427,314.535760641098,1775.5262427330017
cifar10,random,80,3,21.854944,0.2494,0.2898,1193.6456344127655,278.22847414016724,318.14235639572144,1790.0164649486542
cifar10,random,90,1,22.892353,0.2743,0.268,1338.8086845874786,276.2257113456726,326.985467672348,1942.0198636054993
cifar10,random,90,2,21.931849,0.2601,0.279,1339.1267755031586,274.8601999282837,317.261766910553,1931.2487423419952
cifar10,random,90,3,21.328314,0.2559,0.2825,1337.7616031169891,276.2115271091461,322.2162847518921,1936.1894149780273
cifar10,random,100,1,20.560055,0.2592,0.283,1482.6719634532928,274.52446961402893,319.6746244430542,2076.871057510376
cifar10,random,100,2,21.845041,0.268,0.2938,1483.930652141571,274.25119638442993,320.73395562171936,2078.9158041477203
cifar10,random,100,3,20.725418,0.2712,0.2785,1479.0803425312042,276.37632393836975,315.02799940109253,2070.4846658706665
