dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
digits,easiest,50,1,45.04434437718319,226.1069691181183,9.199321269989014,235.3062903881073
digits,easiest,50,2,45.145858109238546,242.129869222641,8.149029731750488,250.27889895439148
digits,easiest,50,3,44.01217454659982,225.04099559783936,8.288411855697632,233.329407453537
digits,easiest,60,1,39.68861760990916,268.9458770751953,8.39658260345459,277.3424596786499
digits,easiest,60,2,48.07952733930096,293.37436079978943,8.103126049041748,301.4774868488312
digits,easiest,60,3,36.63513933586566,310.8880350589752,8.409223794937134,319.29725885391235
digits,easiest,70,1,43.974715487814024,337.41760873794556,8.069257020950317,345.4868657588959
digits,easiest,70,2,36.22022106366317,331.3085255622864,8.377743244171143,339.6862688064575
digits,easiest,70,3,39.210732776675435,309.6806740760803,8.015107870101929,317.69578194618225
digits,easiest,80,1,24.59020898127389,350.62691736221313,8.24525761604309,358.8721749782562
digits,easiest,80,2,39.366498453390975,352.72195315361023,8.152586460113525,360.87453961372375
digits,easiest,80,3,33.565823801503,381.3414602279663,8.320425033569336,389.66188526153564
digits,easiest,90,1,31.668814270389504,423.10326313972473,8.519270658493042,431.6225337982178
digits,easiest,90,2,33.79140958142188,411.46157217025757,8.285588026046753,419.7471601963043
digits,easiest,90,3,34.55109282406756,431.5993056297302,7.912319898605347,439.51162552833557
