dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
digits,easiest,50,1,45.145858109238546,0.67918,0.43018,228.9413139820099,8.65001916885376,213.26400184631348,450.8553349971771
digits,easiest,50,2,44.01217454659982,0.69262,0.4332,233.89089393615723,8.251587867736816,211.48156309127808,453.6240448951721
digits,easiest,50,3,54.73291654893001,0.6814,0.43608,231.33483743667603,8.035579204559326,211.71295285224915,451.0833694934845
digits,easiest,60,1,48.07952733930096,0.68998,0.43486,274.91531777381897,8.217134952545166,208.8401219844818,491.97257471084595
digits,easiest,60,2,36.63513933586566,0.67156,0.4551,274.1818299293518,8.215179204940796,209.92483162879944,492.32184076309204
digits,easiest,60,3,41.227475057018346,0.66408,0.4476,274.18851709365845,8.137035369873047,207.18234276771545,489.50789523124695
digits,easiest,70,1,36.22022106366317,0.67156,0.48474,315.23103523254395,8.25256085395813,214.23844647407532,537.7220425605774
digits,easiest,70,2,39.210732776675435,0.6697,0.48458,316.31606459617615,8.039765119552612,224.34731769561768,548.7031474113464
digits,easiest,70,3,35.41912863246507,0.6833,0.49056,317.7012746334076,8.2067551612854,210.56827187538147,536.4763016700745
digits,easiest,80,1,39.366498453390975,0.67218,0.51458,357.91445899009705,8.313347339630127,217.06781029701233,583.2956166267395
digits,easiest,80,2,33.565823801503,0.69308,0.535,358.0978858470917,8.064863204956055,221.39657759666443,587.5593266487122
digits,easiest,80,3,36.14600427815414,0.67544,0.53634,358.75710129737854,8.281866073608398,223.5804660320282,590.6194334030151
digits,easiest,90,1,33.79140958142188,0.6674,0.55684,399.5283033847809,8.089410066604614,224.23912525177002,631.8568387031555
digits,easiest,90,2,34.55109282406756,0.67264,0.54564,399.1806058883667,8.172475814819336,233.9137852191925,641.2668669223785
digits,easiest,90,3,37.31641419867479,0.68068,0.55098,425.0254888534546,8.46256947517395,236.8493835926056,670.3374419212341
