dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
digits,easiest_balanced,50,1,37.68192818577264,259.01232624053955,8.727802276611328,267.7401285171509
digits,easiest_balanced,50,2,40.325204371257726,272.1339979171753,8.522950649261475,280.65694856643677
digits,easiest_balanced,50,3,40.02623682512824,250.81791639328003,8.527057409286499,259.3449738025665
digits,easiest_balanced,60,1,30.55541110824663,289.0846526622772,8.409694194793701,297.4943468570709
digits,easiest_balanced,60,2,29.31453032956719,285.8707208633423,8.420623779296875,294.29134464263916
digits,easiest_balanced,60,3,33.00330097807357,280.8113212585449,8.496601819992065,289.307923078537
digits,easiest_balanced,70,1,39.19752192958387,318.18879532814026,8.325988531112671,326.51478385925293
digits,easiest_balanced,70,2,25.537941789930848,318.5753107070923,8.510398626327515,327.0857093334198
digits,easiest_balanced,70,3,27.85813859494548,323.31098532676697,8.371596813201904,331.6825821399689
digits,easiest_balanced,80,1,29.65388462970713,367.2288649082184,8.468915462493896,375.6977803707123
digits,easiest_balanced,80,2,26.25389267267002,357.27798199653625,8.394624948501587,365.67260694503784
digits,easiest_balanced,80,3,27.099013228563166,357.8923351764679,8.414633750915527,366.3069689273834
digits,easiest_balanced,90,1,34.33183837388361,442.36745381355286,8.461968660354614,450.82942247390747
digits,easiest_balanced,90,2,38.47105669542657,459.22544264793396,8.452828407287598,467.67827105522156
digits,easiest_balanced,90,3,27.867119823166636,403.2393410205841,8.412034273147583,411.6513752937317
