dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
digits,easiest_balanced,50,1,37.68192818577264,0.67134,0.43204,228.4083776473999,8.303994178771973,205.39338636398315,442.10575819015503
digits,easiest_balanced,50,2,40.325204371257726,0.67814,0.4181,230.44445538520813,8.22323226928711,210.17910599708557,448.8467936515808
digits,easiest_balanced,50,3,40.02623682512824,0.68518,0.41012,262.602769613266,8.460925102233887,222.1822738647461,493.245968580246
digits,easiest_balanced,60,1,30.55541110824663,0.70088,0.44786,275.26534390449524,8.19616174697876,215.98430109024048,499.4458067417145
digits,easiest_balanced,60,2,29.31453032956719,0.68136,0.46006,328.29839396476746,8.518813848495483,217.34397625923157,554.1611840724945
digits,easiest_balanced,60,3,33.00330097807357,0.68218,0.44968,284.03619718551636,8.25772738456726,216.3831696510315,508.6770942211151
digits,easiest_balanced,70,1,39.19752192958387,0.6979,0.49204,333.7637755870819,8.283384323120117,211.26441884040833,553.3115787506104
digits,easiest_balanced,70,2,25.537941789930848,0.68006,0.48244,317.8616762161255,8.142950296401978,224.9834840297699,550.9881105422974
digits,easiest_balanced,70,3,27.85813859494548,0.6895,0.49252,322.56550431251526,8.23774242401123,220.18408489227295,550.9873316287994
digits,easiest_balanced,80,1,29.65388462970713,0.67806,0.52882,367.4810872077942,8.612613201141357,216.74092316627502,592.8346235752106
digits,easiest_balanced,80,2,26.25389267267002,0.6812,0.52122,366.67079639434814,8.158492088317871,227.26848077774048,602.0977692604065
digits,easiest_balanced,80,3,27.099013228563166,0.67652,0.5489,360.01921010017395,8.382673740386963,238.85105276107788,607.2529366016388
digits,easiest_balanced,90,1,34.33183837388361,0.6699,0.55318,470.59035992622375,8.312968730926514,252.08611059188843,730.9894392490387
digits,easiest_balanced,90,2,38.47105669542657,0.67826,0.5562,471.1934599876404,8.19603157043457,252.19610142707825,731.5855929851532
digits,easiest_balanced,90,3,27.867119823166636,0.66992,0.5639,473.66278290748596,8.329749584197998,243.9614703655243,725.9540028572083
