dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
digits,hardest,50,1,157.21008743082135,241.70493483543396,8.49428415298462,250.19921898841858
digits,hardest,50,2,174.34449936055228,263.8364038467407,8.798226594924927,272.63463044166565
digits,hardest,50,3,167.734257230885,269.7813653945923,8.497232913970947,278.27859830856323
digits,hardest,60,1,153.66645926694417,321.80159640312195,8.545819282531738,330.3474156856537
digits,hardest,60,2,148.81086477400407,288.7971239089966,8.275818824768066,297.07294273376465
digits,hardest,60,3,140.29450760684708,287.53175044059753,8.152093648910522,295.68384408950806
digits,hardest,70,1,146.49413006962277,341.9085147380829,8.358041763305664,350.26655650138855
digits,hardest,70,2,117.26685095894587,354.503319978714,8.881448984146118,363.3847689628601
digits,hardest,70,3,123.71990520444555,356.99435687065125,8.416988849639893,365.41134572029114
digits,hardest,80,1,100.84318808261054,414.2389962673187,8.311051368713379,422.5500476360321
digits,hardest,80,2,99.07933012920036,393.07981419563293,8.421655416488647,401.5014696121216
digits,hardest,80,3,87.66912367846496,411.92401146888733,8.608270406723022,420.53228187561035
digits,hardest,90,1,66.32451624528386,456.0407874584198,8.927265405654907,464.9680528640747
digits,hardest,90,2,66.89489602208602,446.0258266925812,8.367418050765991,454.39324474334717
digits,hardest,90,3,60.40019925526336,452.63473415374756,8.269541025161743,460.9042751789093
