dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
digits,hardest,50,1,174.34449936055228,0.5845,0.5372,267.23028469085693,8.982436418533325,277.500855922699,553.7135770320892
digits,hardest,50,2,167.734257230885,0.59226,0.56244,270.64300441741943,8.304502248764038,278.52438044548035,557.4718871116638
digits,hardest,50,3,184.08376073586822,0.5813,0.5349,270.96657156944275,8.364182710647583,280.0489869117737,559.379741191864
digits,hardest,60,1,148.81086477400407,0.59942,0.5626,324.3400580883026,8.437548637390137,274.969140291214,607.7467470169067
digits,hardest,60,2,140.29450760684708,0.60214,0.56552,302.73010754585266,8.090805292129517,251.2006275653839,562.0215404033661
digits,hardest,60,3,147.5752362857647,0.60322,0.55218,276.86416935920715,7.990072250366211,253.4596688747406,538.313910484314
digits,hardest,70,1,117.26685095894587,0.64064,0.59346,317.2012617588043,8.136286497116089,236.34558773040771,561.6831359863281
digits,hardest,70,2,123.71990520444555,0.63114,0.58144,316.7921841144562,8.074884414672852,240.3469614982605,565.2140300273895
digits,hardest,70,3,127.71106293100286,0.62798,0.58496,317.7167308330536,7.992169141769409,249.31397557258606,575.0228755474091
digits,hardest,80,1,99.07933012920036,0.634,0.57084,371.2801761627197,8.196609735488892,247.90984058380127,627.3866264820099
digits,hardest,80,2,87.66912367846496,0.62922,0.57774,370.7957286834717,8.107916355133057,245.1160066127777,624.0196516513824
digits,hardest,80,3,101.41280788913619,0.63792,0.58098,368.20341444015503,8.267413139343262,235.89160299301147,612.3624305725098
digits,hardest,90,1,66.89489602208602,0.64724,0.58456,410.8444666862488,8.063591957092285,229.68584847450256,648.5939071178436
digits,hardest,90,2,60.40019925526336,0.65398,0.59418,401.4042661190033,8.093214511871338,237.9026641845703,647.400144815445
digits,hardest,90,3,60.731285133106965,0.65834,0.59156,401.8273961544037,8.229378938674927,237.45998740196228,647.5167624950409
