dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
digits,random,50,1,49.5674317984424,230.29471588134766,8.53538179397583,238.8300976753235
digits,random,50,2,44.475175907354114,253.2921097278595,8.430927753448486,261.723037481308
digits,random,50,3,52.05546866560425,230.33574676513672,8.599535465240479,238.9352822303772
digits,random,60,1,46.56837927817644,307.84333419799805,8.242212057113647,316.0855462551117
digits,random,60,2,46.183671465667715,311.5808563232422,8.089828729629517,319.6706850528717
digits,random,60,3,47.03496013368044,279.8118739128113,8.288115739822388,288.09998965263367
digits,random,70,1,35.512349209677566,335.54491543769836,8.146637439727783,343.69155287742615
digits,random,70,2,38.32629993289321,330.42549896240234,8.261127710342407,338.68662667274475
digits,random,70,3,37.01748080076405,323.4975800514221,8.204140186309814,331.70172023773193
digits,random,80,1,31.611147628443902,349.484760761261,8.192874908447266,357.67763566970825
digits,random,80,2,39.38682469841033,351.9988031387329,8.106133699417114,360.10493683815
digits,random,80,3,35.45373788603208,352.1628077030182,8.33448314666748,360.49729084968567
digits,random,90,1,30.315258170110013,395.01221776008606,8.238485336303711,403.25070309638977
digits,random,90,2,30.90077976879322,393.9755828380585,8.098189353942871,402.07377219200134
digits,random,90,3,33.948156988183115,395.370596408844,8.279387474060059,403.64998388290405
digits,random,100,1,32.40964791403302,422.70140290260315,8.167709589004517,430.86911249160767
digits,random,100,2,28.036141464608914,423.05948853492737,8.21927285194397,431.27876138687134
digits,random,100,3,38.58791368582469,419.6698191165924,8.199527263641357,427.86934638023376
