dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
digits,random,50,1,44.475175907354114,0.61664,0.58226,264.8408029079437,8.629057168960571,251.4608314037323,524.9306914806366
digits,random,50,2,52.05546866560425,0.63064,0.55576,270.56798028945923,8.275523662567139,256.7832181453705,535.6267220973969
digits,random,50,3,44.69569892020323,0.6194,0.56692,270.0705523490906,8.332063436508179,253.45992183685303,531.8625376224518
digits,random,60,1,46.183671465667715,0.62668,0.55362,321.6830585002899,8.427543878555298,255.85314059257507,585.9637429714203
digits,random,60,2,47.03496013368044,0.63562,0.56476,321.6509256362915,8.367094039916992,252.64945149421692,582.6674711704254
digits,random,60,3,39.92851493798416,0.631,0.5735,321.32418060302734,8.239130735397339,250.7002260684967,580.2635374069214
digits,random,70,1,38.32629993289321,0.64604,0.5677,370.99120569229126,8.283041000366211,251.8473026752472,631.1215493679047
digits,random,70,2,37.01748080076405,0.63916,0.55938,371.12176752090454,8.628051996231079,253.74227285385132,633.4920923709869
digits,random,70,3,50.985677997102286,0.63826,0.57024,370.42483401298523,8.440958023071289,254.02361059188843,632.889402627945
digits,random,80,1,39.38682469841033,0.65418,0.5785,420.8094599246979,8.566855907440186,257.36034750938416,686.7366633415222
digits,random,80,2,35.45373788603208,0.65654,0.587,420.1685211658478,8.25801944732666,256.8364050388336,685.262945652008
digits,random,80,3,37.14210429652102,0.66634,0.58548,422.0563220977783,8.223997831344604,258.96513986587524,689.2454597949982
digits,random,90,1,30.90077976879322,0.6508,0.59536,469.79438066482544,8.332406759262085,256.8158845901489,734.9426720142365
digits,random,90,2,33.948156988183115,0.64842,0.59144,469.498601436615,8.661286354064941,260.9506492614746,739.1105370521545
digits,random,90,3,28.612708723199262,0.65616,0.59396,470.31419467926025,8.447391271591187,252.1624720096588,730.9240579605103
digits,random,100,1,28.036141464608914,0.6684,0.60926,504.6630074977875,8.601021528244019,248.38801312446594,761.6520421504974
digits,random,100,2,38.58791368582469,0.6663,0.58454,503.7978091239929,8.282931089401245,262.45212602615356,774.5328662395477
digits,random,100,3,35.46621081403843,0.66662,0.59892,505.02738904953003,8.354609251022339,256.3149139881134,769.6969122886658
