dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
fashion,easiest_balanced,50,1,87.94831275456662,228.70353984832764,8.828160762786865,237.5317006111145
fashion,easiest_balanced,50,2,92.9971681933192,229.75712203979492,8.291314125061035,238.04843616485596
fashion,easiest_balanced,50,3,98.24725508948599,229.31166052818298,8.407819271087646,237.71947979927063
fashion,easiest_balanced,60,1,70.16055240090014,280.8327441215515,8.28204894065857,289.1147930622101
fashion,easiest_balanced,60,2,77.2908314450034,273.21791911125183,8.339678049087524,281.55759716033936
fashion,easiest_balanced,60,3,86.42278373478416,274.1577699184418,8.326812267303467,282.48458218574524
fashion,easiest_balanced,70,1,68.68327918872814,315.22777247428894,8.27000641822815,323.4977788925171
fashion,easiest_balanced,70,2,71.03164102254996,314.8041467666626,8.473217010498047,323.27736377716064
fashion,easiest_balanced,70,3,73.43940502992696,314.2313976287842,8.305097103118896,322.5364947319031
fashion,easiest_balanced,80,1,61.497524329804925,355.12332940101624,8.529734373092651,363.6530637741089
fashion,easiest_balanced,80,2,57.675547552475464,395.34431314468384,8.35787296295166,403.7021861076355
fashion,easiest_balanced,80,3,61.34567472733541,386.0405123233795,8.406060218811035,394.44657254219055
fashion,easiest_balanced,90,1,45.74884142478195,395.10034108161926,8.188563585281372,403.28890466690063
fashion,easiest_balanced,90,2,58.34888182723965,398.4927921295166,8.39634370803833,406.88913583755493
fashion,easiest_balanced,90,3,62.13043612093452,397.5385296344757,8.310974359512329,405.84950399398804
