dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
fashion,easiest_balanced,50,1,70.67467501795902,0.6425,0.1937,232.41967487335205,8.87721562385559,19.096784830093384,260.393675327301
fashion,easiest_balanced,50,2,79.24517111404701,0.6587,0.2232,230.10466384887695,8.245568752288818,19.038556814193726,257.3887894153595
fashion,easiest_balanced,50,3,82.18417487353932,0.6718,0.168,230.07055497169495,8.207880973815918,19.778520822525024,258.0569567680359
fashion,easiest_balanced,60,1,52.28539503303936,0.6386,0.234,281.74976682662964,8.200592756271362,19.135387659072876,309.0857472419739
fashion,easiest_balanced,60,2,58.39944281904589,0.6639,0.2497,279.4966769218445,8.245713472366333,19.134321689605713,306.8767120838165
fashion,easiest_balanced,60,3,64.01818533209287,0.6798,0.2212,279.12374472618103,8.233909130096436,19.255070686340332,306.6127245426178
fashion,easiest_balanced,70,1,52.45676380624449,0.6721,0.2495,325.3373086452484,8.114933967590332,19.156811237335205,352.60905385017395
fashion,easiest_balanced,70,2,53.031714370965226,0.645,0.2209,324.34325766563416,8.778038740158081,19.096677780151367,352.2179741859436
fashion,easiest_balanced,70,3,56.35962640086919,0.6699,0.211,373.7434604167938,8.23776888847351,18.62907648086548,400.6103057861328
fashion,easiest_balanced,80,1,47.376421693430835,0.7107,0.2236,418.91023349761963,8.317307233810425,19.82364058494568,447.05118131637573
fashion,easiest_balanced,80,2,43.39403839883555,0.6752,0.2536,385.8448450565338,8.186111688613892,19.089606761932373,413.1205635070801
fashion,easiest_balanced,80,3,44.96771938779929,0.6696,0.2669,362.9762144088745,8.198010206222534,19.55375838279724,390.7279829978943
fashion,easiest_balanced,90,1,32.41264790779671,0.6851,0.28,398.4799757003784,8.072105407714844,19.599708557128906,426.15178966522217
fashion,easiest_balanced,90,2,43.422771500418776,0.6723,0.2805,405.65237045288086,8.57782769203186,19.632972240447998,433.8631703853607
fashion,easiest_balanced,90,3,45.506277871276424,0.6755,0.2429,430.08405113220215,8.359045267105103,18.893534660339355,457.3366310596466
