dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
fashion,hardest,50,1,204.51203241597443,0.7244,0.1812,268.3734905719757,8.61455488204956,19.17811942100525,296.1661648750305
fashion,hardest,50,2,215.33937690698943,0.7396,0.1759,264.6658203601837,8.218117952346802,19.22127628326416,292.1052145957947
fashion,hardest,50,3,210.09004894476095,0.7481,0.1977,290.1308195590973,8.54445481300354,19.550233125686646,318.2255074977875
fashion,hardest,60,1,166.4162184245153,0.7057,0.2362,336.0498688220978,8.479657888412476,16.109719038009644,360.6392457485199
fashion,hardest,60,2,173.02101653608642,0.7065,0.224,347.5450303554535,8.67007851600647,18.401004552841187,374.61611342430115
fashion,hardest,60,3,169.6326884937509,0.715,0.2625,330.25281977653503,8.401357412338257,19.706902742385864,358.36107993125916
fashion,hardest,70,1,130.58290067643412,0.724,0.2818,389.0481367111206,8.481316089630127,18.708505153656006,416.23795795440674
fashion,hardest,70,2,120.97758843487394,0.6961,0.2454,396.3183732032776,8.556851148605347,19.553605318069458,424.4288296699524
fashion,hardest,70,3,130.442853680177,0.7208,0.2782,365.7012040615082,8.468250036239624,18.95699143409729,393.1264455318451
fashion,hardest,80,1,79.07035910055836,0.7338,0.3299,460.8355975151062,8.844545125961304,18.99367380142212,488.6738164424896
fashion,hardest,80,2,99.36436397652912,0.7299,0.2756,458.0697202682495,8.55808687210083,18.84788727760315,485.4756944179535
fashion,hardest,80,3,90.99007849137634,0.6873,0.2846,457.47993874549866,8.463304042816162,18.461478233337402,484.4047210216522
fashion,hardest,90,1,50.4867862348487,0.7072,0.3073,511.59834909439087,8.557997703552246,18.633655548095703,538.7900023460388
fashion,hardest,90,2,49.83324006300707,0.7097,0.3241,512.025684595108,8.553505182266235,18.181602001190186,538.7607917785645
fashion,hardest,90,3,55.292057144183985,0.7078,0.3544,516.7005081176758,9.152165412902832,23.548551559448242,549.4012250900269
