dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
fashion,random,50,1,60.49579979288494,257.3518023490906,8.805219650268555,266.15702199935913
fashion,random,50,2,60.95502106330584,258.09273076057434,8.59040093421936,266.6831316947937
fashion,random,50,3,64.35640474798018,258.751259803772,8.56347393989563,267.3147337436676
fashion,random,60,1,65.22142550093417,307.1413369178772,8.528630256652832,315.66996717453003
fashion,random,60,2,59.52010545571693,306.627135515213,8.445927619934082,315.0730631351471
fashion,random,60,3,56.94708621725245,307.9009132385254,8.569406986236572,316.47032022476196
fashion,random,70,1,54.49348802538391,355.8670108318329,8.428203821182251,364.29521465301514
fashion,random,70,2,58.949416484607994,355.3837060928345,8.65082836151123,364.0345344543457
fashion,random,70,3,57.98516493867889,354.9503381252289,8.515731573104858,363.46606969833374
fashion,random,80,1,42.02756545475712,403.48893308639526,8.577543497085571,412.06647658348083
fashion,random,80,2,49.1664744308531,401.5994098186493,8.4666748046875,410.0660846233368
fashion,random,80,3,56.865093637070274,403.13364911079407,8.557044744491577,411.69069385528564
fashion,random,90,1,48.32493826537602,449.4976108074188,8.493826627731323,457.99143743515015
fashion,random,90,2,44.44377970799306,449.14954113960266,8.50488018989563,457.6544213294983
fashion,random,90,3,61.91587262962416,447.6561722755432,8.585332870483398,456.2415051460266
fashion,random,100,1,48.62563291913894,482.5441401004791,8.493951797485352,491.0380918979645
fashion,random,100,2,40.26627669766958,483.6444869041443,8.424838066101074,492.06932497024536
fashion,random,100,3,58.5432906773303,485.0668041706085,8.561949253082275,493.6287534236908
