dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
fashion,random,50,1,40.5738434611671,0.6529,0.2297,239.16297101974487,8.376542329788208,19.24805188179016,266.78756523132324
fashion,random,50,2,44.22382379486897,0.6543,0.1878,236.61630296707153,8.236532211303711,18.8162899017334,263.66912508010864
fashion,random,50,3,49.047429639795034,0.6847,0.2085,236.53795623779297,8.18143081665039,19.023803234100342,263.7431902885437
fashion,random,60,1,48.02419848549602,0.6525,0.221,280.21781849861145,8.208125352859497,19.146697282791138,307.5726411342621
fashion,random,60,2,41.66853212762463,0.65,0.228,281.3141942024231,8.319756031036377,19.226008415222168,308.85995864868164
fashion,random,60,3,40.93213873895064,0.6717,0.2259,282.65499782562256,8.158886194229126,19.214146614074707,310.0280306339264
fashion,random,70,1,35.160997486541746,0.6407,0.2942,323.46319818496704,8.160258769989014,18.676603317260742,350.3000602722168
fashion,random,70,2,43.99793869664249,0.6637,0.2173,320.120965719223,8.276464462280273,17.827207326889038,346.22463750839233
fashion,random,70,3,39.56934954439075,0.6695,0.2762,323.576367855072,8.09029769897461,18.70978331565857,350.3764488697052
fashion,random,80,1,29.19057715995313,0.6375,0.2829,362.5032768249512,8.230187892913818,18.88194441795349,389.6154091358185
fashion,random,80,2,33.55212915681795,0.6539,0.3014,366.66906690597534,8.139929294586182,18.87669348716736,393.6856896877289
fashion,random,80,3,37.210525747438126,0.6594,0.2504,364.34823989868164,8.222842931747437,18.627618074417114,391.1987009048462
fashion,random,90,1,29.023094505490267,0.6798,0.3061,405.83574771881104,8.222626686096191,18.730207204818726,432.78858160972595
fashion,random,90,2,29.174111457345745,0.6541,0.2785,404.6094317436218,8.121014595031738,19.154372930526733,431.8848192691803
fashion,random,90,3,44.95373040854934,0.6797,0.278,405.46664547920227,8.203487873077393,18.482465028762817,432.1525983810425
fashion,random,100,1,33.89300910365875,0.6829,0.2789,437.44648933410645,8.348620653152466,19.001059532165527,464.79616951942444
fashion,random,100,2,24.718665372306926,0.6963,0.3243,432.6106379032135,8.220926284790039,19.261114835739136,460.0926790237427
fashion,random,100,3,41.7996837735588,0.7057,0.2444,433.84608340263367,8.158217191696167,18.740248918533325,460.74454951286316
